DATE;TYPE;ASSET;INITIAL PRICE;FINAL PRICE;INITIAL TOTAL; FINAL TOTAL;VALORIZATION;
06/02/2022 09:03:12;[COMPRA]; ALICEUSDT; 10; 0; 100; 100; 0;
06/02/2022 09:05:08;[COMPRA]; DARUSDT; 10; 0; 100; 100; 0;
