DATE;TYPE;ASSET;INITIAL PRICE;FINAL PRICE;INITIAL TOTAL; FINAL TOTAL;VALORIZATION;REC TYPE;
23/02/2022 07:32:28;[COMPRA]; BETAUSDT; 0,57286; 0,57286; 15,4672200000000; 15,4672200000000; 0; Minute;
23/02/2022 07:32:45;[COMPRA]; AVAXUSDT; 80,35; 80,35; 15,2665000000; 15,2665000000; 0; Hour;
23/02/2022 07:58:26;[VENDA]; AVAXUSDT; 80,35; 81,05; 15,2665000000; 15,3995000000; 0,8711885500933416303671437500; Hour;
23/02/2022 07:59:37;[COMPRA]; JOEUSDT; 1,175; 1,175; 15,99175000000; 15,99175000000; 0; Hour;
23/02/2022 08:40:05;[VENDA]; JOEUSDT; 1,175; 1,19; 15,99175000000; 16,1959000000; 1,2765957446808510638297872300; Hour;
23/02/2022 08:41:05;[COMPRA]; LUNAUSDT; 58,73; 58,73; 15,8571000000; 15,8571000000; 0; Hour;
23/02/2022 08:50:37;[VENDA]; LUNAUSDT; 58,73; 59,38; 15,8571000000; 16,0326000000; 1,1067597479993189170781542700; Hour;
23/02/2022 08:52:05;[COMPRA]; ALICEUSDT; 7,3; 7,3; 15,987000000; 15,987000000; 0; Hour;
23/02/2022 08:58:40;[VENDA]; BETAUSDT; 0,57286; 0,55525; 15,4672200000000; 14,9917500000000; -3,0740495059875013092204028900; Minute;
